nord,east,alt,speed,vf,vl,vu,yaw,pitch,roll,af,al,au,wf,wl,wu,numsats,satellitesInView,profile,fixQuality,HDOP,timestamp,grabMsec,episode
59.9064885,30.3503989,10.705,1.266,0.0,0.0,0.0,-5.120661634998958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 53.200+03: 00,44175,new.003.001.
59.9064891,30.3503967,10.707,1.397,0.0,0.0,0.0,-5.186491963725682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 53.300+03: 00,44275,new.003.001.
59.9064897,30.3503942,10.709,1.539,0.0,0.0,0.0,-5.155505388185773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 53.400+03: 00,44381,new.003.001.
59.9064904,30.3503915,10.711,1.62,0.0,0.0,0.0,-5.1573659091684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 53.500+03: 00,44476,new.003.001.
59.9064911,30.3503887,10.712,1.752,0.0,0.0,0.0,-5.1615930966167305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 53.600+03: 00,44580,new.003.001.
59.9064918,30.3503856,10.712,1.893,0.0,0.0,0.0,-5.165630043176593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 53.700+03: 00,44674,new.003.001.
59.9064926,30.3503823,10.712,1.992,0.0,0.0,0.0,-5.147515270870144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 53.800+03: 00,44775,new.003.001.
59.9064936,30.3503788,10.713,2.163,0.0,0.0,0.0,-5.181566644576553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,43,0,4,0.8,2025-04-23T17: 13: 53.900+03: 00,44875,new.003.001.
59.9064944,30.3503751,10.715,2.272,0.0,0.0,0.0,-5.1610607711948715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.78,2025-04-23T17: 13: 54.000+03: 00,44982,new.003.001.
59.9064953,30.3503713,10.716,2.381,0.0,0.0,0.0,-5.144277685107695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.78,2025-04-23T17: 13: 54.100+03: 00,45082,new.003.001.
59.9064963,30.3503673,10.718,2.497,0.0,0.0,0.0,-5.179645037070107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.78,2025-04-23T17: 13: 54.200+03: 00,45177,new.003.001.
59.9064973,30.350363,10.719,2.59,0.0,0.0,0.0,-5.164244251750509,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.78,2025-04-23T17: 13: 54.300+03: 00,45281,new.003.001.
59.9064984,30.3503587,10.723,2.719,0.0,0.0,0.0,-5.1675289614027635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.78,2025-04-23T17: 13: 54.400+03: 00,45382,new.003.001.
59.9064995,30.3503541,10.728,2.811,0.0,0.0,0.0,-5.16592500382018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.78,2025-04-23T17: 13: 54.500+03: 00,45491,new.003.001.
59.9065006,30.3503493,10.731,2.931,0.0,0.0,0.0,-5.155423357710931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.78,2025-04-23T17: 13: 54.600+03: 00,45577,new.003.001.
59.9065018,30.3503443,10.733,3.071,0.0,0.0,0.0,-5.149391499816039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.78,2025-04-23T17: 13: 54.700+03: 00,45674,new.003.001.
59.9065031,30.3503392,10.737,3.172,0.0,0.0,0.0,-5.175632525119773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.78,2025-04-23T17: 13: 54.800+03: 00,45768,new.003.001.
59.9065044,30.3503339,10.737,3.271,0.0,0.0,0.0,-5.157772570884115,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18,43,0,4,0.78,2025-04-23T17: 13: 54.900+03: 00,45884,new.003.001.
59.9065057,30.3503283,10.742,3.351,0.0,0.0,0.0,-5.1621044780875645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,43,0,4,0.65,2025-04-23T17: 13: 55.000+03: 00,45981,new.003.001.
59.9065071,30.3503228,10.744,3.496,0.0,0.0,0.0,-5.154274931063118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,43,0,4,0.65,2025-04-23T17: 13: 55.100+03: 00,46078,new.003.002.
59.9065084,30.350317,10.748,3.595,0.0,0.0,0.0,-5.164170947921925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19,43,0,4,0.65,2025-04-23T17: 13: 55.200+03: 00,46178,new.003.002.
