speed_0,speed_1,grabMsec,tram_mode_dbw_feedback,tram_mode_applied_control,m_speed_mode_driver,episode
21.07,20.830000000000002,75628,-9,-7,-9,new.003.004.
20.36,20.830000000000002,75730,-9,-7,-9,new.003.004.
20.36,20.07,75836,-9,-7,-9,new.003.004.
19.6,20.07,75946,-15,-7,-15,new.003.004.
19.6,19.240000000000002,76041,-15,-7,-15,new.003.005.
18.75,19.240000000000002,76143,-15,-7,-15,new.003.005.
18.75,18.31,76244,-15,-7,-15,new.003.005.
17.84,18.31,76346,-15,-7,-15,new.003.005.
17.84,17.34,76449,-15,-7,-15,new.003.005.
16.77,17.34,76544,-15,-7,-15,new.003.005.
16.77,16.27,76648,-15,0,-15,new.003.005.
15.77,16.27,76749,-15,-7,-15,new.003.005.
15.77,15.33,76854,-15,0,-15,new.003.005.
14.76,15.33,76957,-15,0,-15,new.003.005.
14.76,14.280000000000001,77058,-15,0,-15,new.003.005.
13.8,14.280000000000001,77155,-15,0,-15,new.003.005.
13.8,13.35,77259,-15,0,-15,new.003.005.
12.790000000000001,13.35,77364,-15,0,-15,new.003.005.
12.790000000000001,12.35,77457,-15,0,-15,new.003.005.
11.78,12.35,77559,-15,0,-15,new.003.005.
11.78,11.33,77662,-15,0,-15,new.003.005.
10.790000000000001,11.33,77763,-15,0,-15,new.003.005.
10.790000000000001,10.41,77864,-15,0,-15,new.003.005.
9.85,10.41,77965,-15,0,-15,new.003.005.
9.85,9.51,78067,-15,0,-15,new.003.005.
8.9,9.51,78169,-15,0,-15,new.003.005.
8.9,8.58,78271,-15,0,-15,new.003.005.
7.96,8.58,78374,-15,0,-15,new.003.005.
7.96,7.59,78482,-15,0,-15,new.003.005.
6.99,7.59,78576,-15,0,-15,new.003.005.
6.99,6.61,78678,-15,0,-15,new.003.005.
5.95,6.61,78786,-15,0,-15,new.003.005.
5.95,5.55,78888,-15,0,-15,new.003.005.
4.89,5.55,78981,-15,0,-15,new.003.005.
4.89,4.49,79083,-15,0,-15,new.003.005.
3.84,4.49,79184,-15,0,-15,new.003.005.
3.84,3.45,79289,-15,0,-15,new.003.005.
2.84,3.45,79390,-15,0,-15,new.003.005.
2.84,2.37,79496,-15,0,-15,new.003.005.
1.75,2.37,79595,-15,0,-15,new.003.005.
1.75,1.57,79701,-15,0,-15,new.003.005.
1.05,0.8,79803,-15,0,-15,new.003.005.
1.05,0.8,79904,-15,0,-15,new.003.005.
0.31,0.2,80006,-15,0,-15,new.003.005.
0.31,0.2,80100,-15,0,-15,new.003.005.
0.12,0.13,80212,-15,0,-15,new.003.005.
0.12,0.13,80307,-15,0,-15,new.003.005.
