grabNumber,grabMsec,deviceSec,deviceUsec,cameraProperties,episode
187,44143,25186,984034,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
188,44268,25187,109025,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
189,44393,25187,234016,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
190,44518,25187,359007,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
191,44643,25187,483997,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
192,44768,25187,608988,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
193,44893,25187,733979,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
194,45018,25187,858970,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
195,45143,25187,983961,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
196,45268,25188,108952,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
197,45393,25188,233943,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
198,45518,25188,358934,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
199,45643,25188,483925,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
200,45768,25188,608915,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.001.
201,45893,25188,733906,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.002.
202,46018,25188,858897,"{'type': 'cgncam', 'gain': 1000.0, 'exposure': 10005.0, 'frameRate': 8.0, 'isAutoExposureEnabled': 0, 'isAutoExposureDone': 0, 'isBinningEnabled': 0, 'flip': 'FLIP_NONE', 'trigger_mode': 0, 'temperature': 37.6}",new.003.002.
